Forward and Reverse id	Sample id
M011-Baseline-R-buccal-mucosa_S80_L001_R2_001.fastq	M011_Baseline_R_buccal_mucosa_L001-ds.d75d9a59688c4262b103e5122fcc3389
M011-baseline-S-20_S34_L001_R1_001.fastq	M011_baseline_S_20_L001-ds.4442539634c04e4da2be76af0640f084
M011-baseline-S-20_S34_L001_R2_001.fastq	M011_baseline_S_20_L001-ds.4442539634c04e4da2be76af0640f084
M011-baseline-US-25_S35_L001_R1_001.fastq	M011_baseline_US_25_L001-ds.a4cc8614eccb48c2b3c4b8eb5cb5f8fb
M011-baseline-US-25_S35_L001_R2_001.fastq	M011_baseline_US_25_L001-ds.a4cc8614eccb48c2b3c4b8eb5cb5f8fb
M011-L-Buccal-Mucosa-baseline_S66_L001_R1_001.fastq	M011_L_Buccal_Mucosa_baseline_L001-ds.6c2bb82fe6984b13aba6b5f545a9fd75
M011-L-Buccal-Mucosa-baseline_S66_L001_R2_001.fastq	M011_L_Buccal_Mucosa_baseline_L001-ds.6c2bb82fe6984b13aba6b5f545a9fd75
M0034-week2S_S9_L001_R1_001.fastq	M0034_week2S_L001-ds.98dca849623d4a228f50a51017661139
M0034-week2S_S9_L001_R2_001.fastq	M0034_week2S_L001-ds.98dca849623d4a228f50a51017661139
PCR-NEG_S36_L001_R1_001.fastq	PCR_neg_L001-ds.22f2c280081c4bd9b1c6190dc8b12a5e
PCR-NEG_S36_L001_R2_001.fastq	PCR_neg_L001-ds.22f2c280081c4bd9b1c6190dc8b12a5e
PCR-NEG2_S84_L001_R1_001.fastq	PCR_NEG2_L001-ds.3e5d055fa89d4f46b0c3f844260e9806
PCR-NEG2_S84_L001_R2_001.fastq	PCR_NEG2_L001-ds.3e5d055fa89d4f46b0c3f844260e9806
PCR-NEG3_S110_L001_R1_001.fastq	PCR_NEG3_L001-ds.a3bb780345ee4ebeaa07c21063b14a62
PCR-NEG3_S110_L001_R2_001.fastq	PCR_NEG3_L001-ds.a3bb780345ee4ebeaa07c21063b14a62
PCR-NEG4_S113_L001_R1_001.fastq	PCR_NEG4_L001-ds.6243f5c7d9554ba3b0ee5ccc2293b610
PCR-NEG4_S113_L001_R2_001.fastq	PCR_NEG4_L001-ds.6243f5c7d9554ba3b0ee5ccc2293b610
Tongue-11-5-18_S72_L001_R1_001.fastq	Tongue_11_5_18_L001-ds.b27a46f4851e467f931073e2557d92af
Tongue-11-5-18_S72_L001_R2_001.fastq	Tongue_11_5_18_L001-ds.b27a46f4851e467f931073e2557d92af
X_S109_L001_R1_001.fastq	X_L001-ds.3e75b7180a924a8380556ce809ab8861
X_S109_L001_R2_001.fastq	X_L001-ds.3e75b7180a924a8380556ce809ab8861
